Product Name,Current Price,Original Price,Rating,Number of Reviews,Top Rated,Best Seller,Clearance,New,Color
Columbia Men's Telluron Omniheat II Waterproof Winter Boots,$159.99,,4.5,,False,False,False,False,
Columbia Women's Minx Shorty IV Winter Boots,$139.99,,0.0,,False,False,False,False,
Columbia Women's Minx Slip V Winter Boots,$149.99,,0.0,,False,False,False,False,
Helly Hansen Men's Richmond Boots,$65.97,$88.97,4.5,34,True,False,True,False,HONEY WHEAT -- 726
Helly Hansen Kids' Varanger 2.0 Winter Waterproof Insulated Non-Slip Boots,$44.97,$62.97,3.0,1,False,False,True,False,COBALT
SOREL Women's   Explorer II Joan Boots,$67.97,$90.97,5.0,1,False,False,True,False,BROWN
SOREL Women's Explorer Next Joan Boots,$67.97,$91.97,4.0,61,True,False,True,False,BLACK
"Sorel Women's Emilie III Zip Boots, Waterproof",$88.97,$118.97,4.0,42,True,False,True,False,BLACK
UGG Women's Classic Ultra Mini Boots,$185.00,,4.6,321,True,False,False,False,BLACK
UGG Women's Classic Ultra Mini Boots,$185.00,,4.6,321,True,False,False,False,CHESTNUT
Helly Hansen Men's Forest Evo Boots,$100.97,$126.97,0.0,0,False,False,True,False,BROWN
Ripzone Kids' Grade/Pre-School SubZero Shell Boots,$74.99,,0.0,0,False,True,False,False,BLACK
Columbia Men's Bugaboot III Insulated Waterproof Winter Boots,$179.99,,4.2,,False,False,False,False,
Woods Women's Pinehurst Chelsea II Boots,$119.99,,1.0,2,False,False,False,False,BEIGE
Ripzone Kids' Grade/Pre-School SubZero Shell Boots,$74.99,,0.0,0,False,False,False,False,BLUE
Ripzone Kids' Grade/Pre-School SubZero Shell Boots,$74.99,,0.0,0,False,True,False,False,BLACK
Ripzone Kids' Grade/Pre-School Powder Day Transitional Boots,$64.99,,0.0,0,False,False,False,False,GREEN
Keen Women's Betty Boot Pull-On Waterproof Insulated Winter Boots,$200.00,,4.7,12,True,False,False,False,BURGUNDY/BLACK
UGG Men's Emmett Mid Waterproof Duck Boots,$134.97,$180.00,4.7,130,True,False,True,False,BROWN
UGG Women's Ultra Mini Platform Boots,$195.00,,4.4,542,True,False,False,False,SAND
Vans Men's SK8-Hi Met-2 Boots,$110.97,$137.97,5.0,1,False,False,True,False,BLACK
UGG Women's Classic ll Short Boots,$210.00,,4.8,1440,True,False,False,False,NO COLOR
Ripzone Kids' Grade/Pre-School SubZero Shell Boots,$74.99,,0.0,0,False,False,False,False,PURPLE
"Roxy Women's Maddie J Chelsea Boots, Ankle, Slip On, Casual, Faux Leather",$99.99,,4.4,328,True,False,False,False,BLACK
Ripzone Kids' Grade/Pre-School Icelynn 2.0 Insulated Shell Boots,$79.99,,0.0,0,False,False,False,False,BLUE
UGG Kids' Classic Ultra Mini Boots,$140.00,,4.5,55,True,False,False,False,CHESTNUT
DC Men's Mason 2 Lightweight Comfortable Winter Sneaker Boots,$104.99,,4.0,1,False,False,False,False,BLACK/BLACK
Timberland Women's Greyfield Leather 6 Inch Boots,$56.97,$76.97,4.9,10,True,False,True,False,WHEAT NUBUCK
Ripzone Kids' Toddler Winterland Insulated Shell Boots,$59.99,,0.0,0,False,False,False,False,PINK
"Timberland Kids' Pre-School/Grade School 6 Inch Premium Boots, Boys, Leather, Waterproof",$135.00,,4.7,423,True,False,False,False,BLACK
"Timberland Kids' Pre-School/Grade School 6 Inch Premium Boots, Boys, Leather, Waterproof",$135.00,,4.7,423,True,False,False,False,WHEAT
Merrell Women's Crosslander 2 WaterproofHiking Boots,$174.99,,4.6,102,True,False,False,False,GRAY
Columbia Women's Newton Ridge Omni-Shield Suede Boots,$82.97,$139.99,4.4,16,True,False,True,False,BROWN
Converse Men's Chuck 70 Hi GORE-TEX Boots,$95.97,$119.97,0.0,0,False,False,True,False,BLACL/BLACK
Teva Women's Midform Boots,$200.00,,4.7,62,True,False,False,False,BLACK
Teva Women's Midform Boots,$200.00,,4.7,62,True,False,False,False,DARK OLIVE
Teva Women's Midform Boots,$200.00,,4.7,62,True,False,False,False,WHITE SWAN
Converse Men's Chuck Taylor All Star Malden Street Boots,$65.97,$81.97,5.0,3,False,True,True,False,BLACK/BLACK/BLACK
Ripzone Women's Luna Boots,$74.97,$99.99,4.9,7,False,False,True,False,BROWN
Ripzone Kid's Toddler Winterland Insulated Shell Boots,$59.99,,0.0,0,False,False,False,False,BLACK
Merrell Women's Coldpack 3 Waterproof Arctic Grip Boots,$239.99,,4.2,6,False,False,False,False,BLACK
The North Face Men's VECTIV Fastpack Mid FUTURELIGHT™ Boots,$219.99,,4.5,253,True,False,False,False,GREEN
Roxy Women's Bruna Boots,$129.99,,3.5,11,False,False,False,False,CHOCOLATE
Ripzone Women's Kensington Slip-On Boots,$109.99,,0.0,0,False,False,False,False,LT BROWN
Merrell Men's Coldpack 3 Waterproof Arctic Grip Wide Boots,$259.99,,4.6,7,False,False,False,False,BLACK
HH KELVIN LX BOOT - NEW WHEAT (823) M,$89.97,$112.97,5.0,1,False,False,True,False,BROWN
HH KELVIN LX BOOT - NEW WHEAT (823) M,$89.97,$112.97,5.0,1,False,False,True,False,DK BROWN
Kamik Kids' Pre-School Stomp Rubber Rain Boots,$33.74,,4.8,13,True,False,False,False,CHARCOAL/BLUE
"Hunter Kids' Pre-School/Grade School Original Gloss Rubber Rain Boots, Girls', Waterproof",$36.88,$56.97,4.4,16,True,False,True,False,NO COLOR
KEEN Men's Targhee III Waterproof Leather Hiking Boots,$219.99,,4.1,280,True,False,False,False,BLACK OLIVE/BROWN - WIDE WIDTH
Woods Men's Brohm Slip On Waterproof Rain Boots,$89.99,,4.4,18,True,False,False,False,CHARCOAL
Helly Hansen Men's Switchback HT Hiking Boots,$95.88,$126.97,4.5,89,True,False,True,False,BLACK -- 990
"Ripzone Kids' Pre-School/Grade School Van Rubber Rain Boots, Boys'/Girls', Waterproof",$24.74,,4.4,73,True,False,False,False,DANDELION
Helly Hansen Men's Stalheim HT Hiking Boots,$117.97,$169.99,5.0,1,False,False,True,False,BLACK
Keen Women's Circadia Waterproof Insulated Lightweight Hiking Boots,$132.97,$189.99,4.5,11,True,False,True,False,BLACK/CLOUD BLUE
BOGS Women's Sweetpea Rain Boots,$79.97,$114.99,4.4,423,True,False,True,False,BLACK
"Kamik Kids' Pre-School Raindrops Rain Boots, Waterproof, Latex Free",$44.97,$59.99,0.0,0,False,False,True,False,TURQUOISE
UGG Women's Droplet Rain Boots,$115.00,,3.9,390,False,False,False,False,BLACK
UGG Women's Droplet Rain Boots,$115.00,,3.9,390,False,False,False,False,TAUPE
UGG Women's Droplet Rain Boots,$115.00,,3.9,390,False,False,False,False,WHITE
Merrell Men's Moab 2 Hiking Boots,$141.97,$189.99,4.2,846,True,False,True,False,GRAY/GRAY/BLACK
UGG Men's Neumel Weather Hybrid Boots,$106.97,$134.97,4.5,28,True,False,True,False,BLACK
Ripzone Women's Maya Anthracite Rain Boots,$44.99,,3.7,3,False,True,False,False,BLACK
Ripzone Kids' Grade/Pre-School Van Shark Rain Boots,$23.97,$32.99,5.0,5,False,False,True,False,BLK/ALL ABOARD BLUE
Ripzone Girls' Grade/Pre-School Talia Rain Boots,$23.97,$32.99,5.0,3,False,False,True,False,BLK/BONBON
Ripzone Kids' Grade/Pre-School Van Rain Boots,$23.97,$32.99,5.0,3,False,False,True,False,BLK/CHERRY TOMATO
Columbia Women's Newton Ridge Waterproof Lightweight Non-Slip Hiking Boots,$118.97,$169.99,4.8,26,True,False,True,False,BLACK
Scarpa Unisex Kinesis Pro GORE-TEX Hiking Boots,$469.00,,5.0,4,False,False,False,False,NO COLOR
Bogs Kids' Pre-School Rubber Rain Boots,$70.00,,4.5,112,True,False,False,False,NO COLOR
Muck Unisex Forager Tall Rubber Boot,$9.88,$19.88,4.3,11,True,False,True,False,LT BROWN
Keen Women's Pyrenees Hiking Boots,$229.99,,4.4,371,True,False,False,False,BROWN
Keen Women's Pyrenees Hiking Boots,$229.99,,4.4,371,True,False,False,False,LT BROWN
Helly Hansen Women's Adel Rain Boots,$89.99,,0.0,0,False,True,False,False,GREEN
The North Face Men's Larimer Mid Top Waterproof Boots,$189.99,,4.3,507,True,False,False,False,TNF BLACK -- MY3
"Kamik Women's Chloe Rubber Rain Boots, Short, Waterproof",$24.88,$41.88,4.2,11,True,False,True,False,BLACK
Teva Men's Grandview GORE-TEX Hiking Boots,$260.00,,4.4,62,True,False,False,False,NAVY/ CHARCOAL
Merrell Women's Moab 3 Waterproof Hiking Boots,$189.99,,4.5,272,True,False,False,False,GRANITE
Ripzone Girls' Grade/Pre-School Talia Floral Rain Boots,$23.97,$32.99,4.3,4,False,False,True,False,ORCHID PINK
Bogs Girls' Rainbow Flower Rain boots,$70.00,,4.8,58,True,False,False,False,RAINBOW FLOWER BLK MULTI
Merrell Women's Erie Waterproof Hiking Boots,$159.99,,4.5,294,True,False,False,False,CHARCOAL
Timberland Men's Lincoln Peak Hiking Boots,$52.88,$70.97,4.3,142,True,False,True,False,WHEAT
Salomon Women's Ultra Pioneer Waterproof Lightweight Hiking Boots,$98.88,$123.97,4.2,48,True,False,True,False,BLUE
Hunter Men's Chelsea Insulated Boots,$94.88,$113.97,0.0,0,True,False,True,False,BLACK
On Women's Cloudrock 2 Waterproof Hiking Boots,,,0.0,0,False,False,False,False,FEATHER
On Women's Cloudrock 2 Waterproof Hiking Boots,,,0.0,0,False,False,False,False,GLACIER/ECLIPSE
Kamik Women's Miranda Rain Boots,$74.99,,0.0,0,False,False,False,False,BURGANDY
UGG Women's Classic Mini Platform Boot,$200.00,,4.5,273,True,False,False,False,CHESTNUT
Helly Hansen Women's Stalheim Waterproof Breathable Hiking Boots,$169.99,,2.0,1,False,False,False,False,BLACK
Kamik Women's Ariel F Boots,$169.99,,0.0,0,False,False,False,False,BLACK
Kamik Women's Ariel F Boots,$169.99,,0.0,0,False,False,False,False,COGNAC
Kamik Women's Ariel F Boots,$169.99,,0.0,0,False,False,False,False,DARK BROWN
Kamik Women's Ariel F Boots,$169.99,,0.0,0,False,False,False,False,TAUPE
Helly Hansen Men's Tsuga Ankle Boots,$88.88,$111.97,4.4,79,True,False,True,False,WHEAT
